x,y,z,time
-2.877831,-3.730166,1.407791,00:44:15.178000
-1.991976,-3.308787,-0.201113,00:44:15.192000
-4.769250,-8.106767,-3.002329,00:44:15.218000
-9.940725,-13.455414,-1.019930,00:44:15.232000
-9.868899,-9.366117,2.719813,00:44:15.258000
-4.486734,-1.647211,2.360683,00:44:15.272000
-0.124498,1.086968,1.671153,00:44:15.298000
0.718261,-0.775721,1.154005,00:44:15.312000
-0.881066,-5.612009,0.617704,00:44:15.338000
-2.202666,-11.611878,-0.177171,00:44:15.352000
0.215478,-16.577452,-2.308010,00:44:15.378000
6.196194,-20.872650,-4.960786,00:44:15.392000
13.848063,-26.623524,-5.669470,00:44:15.416000
22.309172,-28.850130,-5.099649,00:44:15.461000
23.587675,-20.748152,-3.011906,00:44:15.475000
13.536817,-7.805098,0.900220,00:44:15.489000
2.250550,1.010353,2.801216,00:44:15.500000
1.450886,3.892972,0.138864,00:44:15.514000
18.636467,-2.015918,-2.638410,00:44:15.532000
28.706478,-12.952631,-0.009577,00:44:15.557000
18.272547,-15.667656,1.877054,00:44:15.574000
9.562442,-12.612655,-0.521936,00:44:15.597000
6.071695,-11.563994,-1.570596,00:44:15.614000
3.873818,-10.213664,-0.780510,00:44:15.639000
2.389413,-8.221688,-0.699107,00:44:15.653000
0.033519,-7.297527,-0.746991,00:44:15.679000
-3.169923,-7.465121,0.210690,00:44:15.693000
-5.276821,-7.326257,1.651999,00:44:15.719000
-5.262455,-5.032612,2.432509,00:44:15.733000
-4.754885,-2.753332,0.986411,00:44:15.754000
-6.871359,-6.459556,-2.566584,00:44:15.776000
-10.759542,-13.948619,-1.771709,00:44:15.799000
-9.854534,-13.278243,1.106121,00:44:15.833000
-3.634398,-5.846641,1.355118,00:44:15.847000
1.086968,-1.666364,1.977611,00:44:15.859000
1.508347,-0.871489,2.054225,00:44:15.880000
0.239420,-0.871489,0.263362,00:44:15.895000
-1.149217,-2.877831,-2.557007,00:44:15.913000
-2.566584,-9.648633,-3.481169,00:44:15.934000
0.258574,-18.210299,-3.624821,00:44:15.955000
3.960010,-20.839132,-4.141969,00:44:15.974000
17.338808,-24.847025,-5.090073,00:44:16.003000
20.408175,-25.498249,-4.438850,00:44:16.016000
19.239805,-15.921441,-1.757344,00:44:16.042000
14.561535,-10.199299,-0.919373,00:44:16.056000
4.343082,-1.580173,-0.531513,00:44:16.082000
4.467580,2.571373,-0.732626,00:44:16.096000
17.094601,2.925714,-3.734955,00:44:16.122000
25.158272,-7.867347,-1.580173,00:44:16.136000
19.464859,-18.990808,4.673482,00:44:16.162000
11.329363,-17.822437,2.853889,00:44:16.176000
7.671022,-14.336480,-0.253785,00:44:16.202000
5.468357,-11.674128,-0.502782,00:44:16.216000
3.155558,-8.192958,-0.292093,00:44:16.242000
0.622492,-6.038177,0.158017,00:44:16.256000
-2.126051,-5.463568,1.273715,00:44:16.282000
-4.127604,-5.535394,2.303222,00:44:16.296000
-4.410120,-5.075707,2.762909,00:44:16.323000
-3.337517,-3.811569,2.279280,00:44:16.336000
-2.987964,-3.816358,0.579397,00:44:16.363000
-5.889736,-7.345411,-0.809240,00:44:16.394000
-10.807426,-10.802638,-0.129287,00:44:16.408000
-11.712435,-9.428367,0.751779,00:44:16.420000
-6.986280,-5.908890,0.799663,00:44:16.435000
-1.412579,-3.974375,1.292869,00:44:16.455000
0.852336,-3.730166,1.422156,00:44:16.484000
0.038307,-5.023035,0.105345,00:44:16.497000
-0.507571,-8.997410,-1.326388,00:44:16.524000
1.235408,-14.585477,-3.050213,00:44:16.537000
5.013458,-19.263746,-4.797980,00:44:16.564000
12.143391,-24.574087,-5.152322,00:44:16.577000
24.751257,-28.270733,-5.521029,00:44:16.608000
27.490225,-20.944477,-3.117251,00:44:16.620000
13.302185,-6.995857,1.244985,00:44:16.634000
0.588974,2.715025,1.896208,00:44:16.659000
6.454768,6.746861,-0.507571,00:44:16.677000
22.007502,2.006341,-1.546654,00:44:16.700000
23.051374,-12.540829,2.643199,00:44:16.714000
14.326903,-19.761742,4.817134,00:44:16.740000
9.653421,-16.026787,1.580173,00:44:16.754000
7.326257,-13.254301,0.057461,00:44:16.780000
5.434838,-10.424355,-0.052672,00:44:16.815000
3.821146,-7.627927,-0.397437,00:44:16.832000
1.182736,-6.282385,0.105345,00:44:16.850000
-1.671153,-5.204995,0.737414,00:44:16.862000
-3.572149,-4.189853,1.077391,00:44:16.877000
-4.572925,-4.132392,2.054225,00:44:16.895000
-4.376601,-3.806781,3.145981,00:44:16.916000
-3.031059,-3.107674,0.373495,00:44:16.942000
-4.845864,-8.370130,-3.203442,00:44:16.957000
-9.888053,-14.834474,-0.636858,00:44:16.982000
-10.122684,-11.382035,2.269703,00:44:16.997000
-4.323928,-3.825934,1.833959,00:44:17.019000
0.689530,-1.005565,2.001553,00:44:17.037000
1.474828,-1.623269,2.183512,00:44:17.063000
0.090980,-2.777274,0.579397,00:44:17.077000
-0.948104,-7.110779,-0.541090,00:44:17.103000
0.234632,-14.144943,-1.321599,00:44:17.117000
4.228160,-19.958065,-3.294421,00:44:17.143000
10.754754,-24.870968,-4.563348,00:44:17.157000
21.356279,-28.443117,-4.716578,00:44:17.183000
25.426422,-23.520638,-2.183512,00:44:17.197000
15.375564,-10.553641,2.365471,00:44:17.223000
4.151546,-0.885855,3.126827,00:44:17.237000
2.207454,2.159570,0.608127,00:44:17.263000
16.342821,1.254562,-2.643199,00:44:17.277000
28.136658,-5.544971,-0.464475,00:44:17.303000
20.839132,-13.508086,4.525041,00:44:17.329000
11.511322,-13.867216,2.537854,00:44:17.341000
7.532158,-12.315774,-0.253785,00:44:17.361000
4.994305,-12.416330,-0.258574,00:44:17.376000
3.529053,-10.323798,-0.277727,00:44:17.397000
2.873042,-9.026140,-0.311246,00:44:17.421000
-1.058237,-6.268020,0.296881,00:44:17.436000
-2.327164,-5.295974,0.521936,00:44:17.463000
-4.122815,-3.399766,0.914585,00:44:17.478000
-4.410120,-3.433285,1.661576,00:44:17.503000
-4.453215,-3.548207,2.858677,00:44:17.518000
